location,latitude,longitude,elevationMeters,bufferRadiusMeters,isHidden,trueCoordinates,comments,internal_wildtrax_id,internal_update_ts
OG-10-42-C,55.041159,-111.731349,,,Visible,t,,50529, 2021-03-24 09:39:18
OG-11-43-B,54.771991,-111.677939,,,Visible,t,,50533, 2021-03-24 09:39:18
OG-11-43-D,54.776466,-111.677921,,,Visible,t,,50536, 2021-03-24 09:39:18
OG-16-58-C,55.704227,-111.352608,,,Visible,t,,50578, 2021-03-24 09:39:18
OG-17-59-D,55.452026,-110.589136,,,Visible,t,,50588, 2021-03-24 09:39:18
OG-19-73-D,55.238398,-112.602937,,,Visible,t,,50608, 2021-03-24 09:39:18
OG-19-74-E,55.230196,-112.610186,,,Visible,t,,50614, 2021-03-24 09:39:18
OG-27-93-B,55.133824,-113.287811,,,Visible,t,,50647, 2021-03-24 09:39:18
Y-13-399-B,54.850499,-111.540107,,,Visible,t,,43920, 2021-03-24 09:39:18
Y-16-372-D,54.542635,-111.138081,,,Visible,t,,43875, 2021-03-24 09:39:18
Y-21-464-B,56.023613,-110.872132,,,Visible,t,,43982, 2021-03-24 09:39:18
Y-21-464-E,56.015233,-110.866545,,,Visible,t,,43985, 2021-03-24 09:39:18
Y-23-264-A,57.387490,-111.247925,,,Visible,t,,43647, 2021-03-24 09:39:18
Y-24-234-A,57.420298,-111.550574,,,Visible,t,,43569, 2021-03-24 09:39:18
Y-24-353-K,57.494632,-111.358779,,,Visible,t,,35171, 2021-03-24 09:39:18
Y-39-414-A,54.980380,-111.836279,,,Visible,t,,43939, 2021-03-24 09:39:18
Y-39-414-E,54.984761,-111.821165,,,Visible,t,,43945, 2021-03-24 09:39:18
Y-58-421-C,54.748557,-112.367044,,,Visible,t,,43958, 2021-03-24 09:39:18
Y-7-253-SW,57.471476,-111.216114,,,Visible,t,,303, 2021-03-24 09:39:18
Y-7-262-NW,57.467246,-111.215322,,,Visible,t,,313, 2021-03-24 09:39:18
NWTI-3-2-SE,60.130650,-113.410000,,,Visible,t,,58385, 2021-03-24 09:39:18
OG-30-108-C,55.984835,-113.595703,,,Visible,t,,50663, 2021-03-24 09:39:18
OG-30-108-E,55.994894,-113.605439,,,Visible,t,,50665, 2021-03-24 09:39:18
OG-34-121-A,55.671063,-113.533701,,,Visible,t,,50681, 2021-03-24 09:39:18
OG-39-109-A,56.036619,-113.735717,,,Visible,t,,50716, 2021-03-24 09:39:18
OG-39-109-E,56.045066,-113.732589,,,Visible,t,,50720, 2021-03-24 09:39:18
